#Common	Kanji	Simpl.	Kun'yomi	On'yomi	Pinyin
柵	柵	栅		サク	zhà
索	索	索		サク	suǒ
策	策	策		サク	cè
酢	酢	酢	す	サク	cù
錯	錯	错		サク	cuò
冊	冊	册		サツ、サク	cè
札	札	札	ふだ	サツ	zhá
刷	刷	刷	す-る	サツ	shuā
拶	拶	拶		サツ	zā
察	察	察		サツ	chá
撮	撮	撮	と-る	サツ	cuō
擦	擦	擦	す-る、す-れる	サツ	cā
雜	雑	杂		ザツ、ゾウ	zá
皿	皿	皿	さら		mǐn
三	三	三	み、み-つ、みっ-つ	サン	sān
山	山	山	やま	サン	shān
參	参	参	まい-る	サン	cān
棧	桟	栈		サン	zhàn
蠶	蚕	蚕	かいこ	サン	cán
慘	惨	惨	みじ-め	サン、ザン	cǎn
傘	傘	伞	かさ	サン	sǎn
散	散	散	ち-る、ち-らす、ち-らかす、ち-らかる	サン	sàn
算	算	算		サン	suàn
酸	酸	酸	す-い	サン	suān
贊	賛	赞		サン	zàn
殘	残	残	のこ-る、のこ-す	ザン	cán
斬	斬	斩	き-る	ザン	zhǎn
暫	暫	暂		ザン	zàn
士	士	士		シ	shì
子	子	子	こ	シ、ス	zi
支	支	支	ささ-える	シ	zhī
止	止	止	と-まる、と-める	シ	zhǐ
氏	氏	氏	うじ	シ	shì
仕	仕	仕	つか-える	シ、（ジ）	shì
史	史	史		シ	shǐ
司	司	司		シ	sī
四	四	四	よ、よ-つ、よっ-つ、よん	シ	sì
市	市	市	いち	シ	shì
矢	矢	矢	や	シ	shǐ
旨	旨	旨	むね	シ	zhǐ
死	死	死	し-ぬ	シ	sǐ
絲	糸	丝	いと	シ	sī
至	至	至	いた-る	シ	zhì
伺	伺	伺	うかが-う	シ	cì
志	志	志	こころざ-す、こころざし	シ	zhì
私	私	私	わたくし、わたし	シ	sī
使	使	使	つか-う	シ	shǐ
刺	刺	刺	さ-す、さ-さる	シ	cì
始	始	始	はじ-める、はじ-まる	シ	shǐ
枝	枝	枝	えだ	シ	zhī
肢	肢	肢		シ	zhī
姿	姿	姿	すがた	シ	zī
思	思	思	おも-う	シ	sī
指	指	指	ゆび、さ-す	シ	zhǐ
施	施	施	ほどこ-す	シ、セ	shī
師	師	师		シ	shī
恣	恣	恣		シ	zì
紙	紙	纸	かみ	シ	zhǐ
脂	脂	脂	あぶら	シ	zhī
紫	紫	紫	むらさき	シ	zǐ
詞	詞	词		シ	cí
齒	歯	齿	は	シ	chǐ
嗣	嗣	嗣		シ	sì
試	試	试	こころ-みる、ため-す	シ	shì
詩	詩	诗		シ	shī
資	資	资		シ	zī
飼	飼	饲	か-う	シ	sì
雌	雌	雌	め、めす	シ	cí
摯	摯	挚		シ	zhì
賜	賜	赐	たまわ-る	シ	cì
示	示	示	しめ-す	ジ、シ	shì
字	字	字	あざ	ジ	zì
寺	寺	寺	てら	ジ	sì
次	次	次	つ-ぐ、つぎ	ジ、シ	cì
耳	耳	耳	みみ	ジ	ěr
自	自	自	みずか-ら	ジ、シ	zì
似	似	似	に-る	ジ	shì
兒	児	儿		ジ、（ニ）	ér
事	事	事	こと	ジ、（ズ）	shì
侍	侍	侍	さむらい	ジ	shì
治	治	治	おさ-める、おさ-まる、なお-る、なお-す	ジ、チ	zhì
持	持	持	も-つ	ジ	chí
時	時	时	とき	ジ	shí
滋	滋	滋		ジ	zī
慈	慈	慈	いつく-しむ	ジ	cí
辭	辞	辞	や-める	ジ	cí
磁	磁	磁		ジ	cí
璽	璽	玺		ジ	xǐ
鹿	鹿	鹿	しか、（か）		lù
式	式	式		シキ	shì
識	識	识		シキ	shí
軸	軸	轴		ジク	zhóu
七	七	七	なな、なな-つ、（なの）	シチ	qī
失	失	失	うしな-う	シツ	shī
室	室	室	むろ	シツ	shì
疾	疾	疾		シツ	jí
執	執	执	と-る	シツ、シュウ	zhí
濕	湿	湿	しめ-る、しめ-す	シツ	shī
嫉	嫉	嫉		シツ	jí
漆	漆	漆	うるし	シツ	qī
質	質	质		シツ、シチ、（チ）	zhì
實	実	实	み、みの-る	ジツ	shí
芝	芝	芝	しば		zhī
寫	写	写	うつ-す、うつ-る	シャ	xiě
車	車	车	くるま	シャ	chē
舍	舎	舍		シャ	shě
射	射	射	い-る	シャ	shè
赦	赦	赦		シャ	shè
斜	斜	斜	なな-め	シャ	xié
遮	遮	遮	さえぎ-る	シャ	zhē
謝	謝	谢	あやま-る	シャ	xiè
邪	邪	邪		ジャ	xié
蛇	蛇	蛇	へび	ジャ、ダ	shé
尺	尺	尺		シャク	chǐ
借	借	借	か-りる	シャク	jiè
酌	酌	酌	く-む	シャク	zhuó
釋	釈	释		シャク	shì
爵	爵	爵		シャク	jué
若	若	若	わか-い、も-しくは	ジャク、（ニャク）	ruò
弱	弱	弱	よわ-い、よわ-る、よわ-まる、よわ-める	ジャク	ruò
寂	寂	寂	さび、さび-しい、さび-れる	ジャク、（セキ）	jì
手	手	手	て、（た）	シュ	shǒu
主	主	主	ぬし、おも	シュ、（ス）	zhǔ
守	守	守	まも-る、も-り	シュ、（ス）	shǒu
朱	朱	朱		シュ	zhū
取	取	取	と-る	シュ	qǔ
狩	狩	狩	か-る、か-り	シュ	shòu
首	首	首	くび	シュ	shǒu
殊	殊	殊	こと	シュ	shū
珠	珠	珠		シュ	zhū
酒	酒	酒	さけ、（さか）	シュ	jiǔ
腫	腫	肿	は-れる、は-らす	シュ	zhǒng
種	種	种	たね	シュ	zhǒng
趣	趣	趣	おもむき	シュ	qù
壽	寿	寿	ことぶき	ジュ	shòu
受	受	受	う-ける、う-かる	ジュ	shòu
授	授	授	さず-ける、さず-かる	ジュ	shòu
需	需	需		ジュ	xū
儒	儒	儒		ジュ	rú
樹	樹	树		ジュ	shù
收	収	收	おさ-める、おさ-まる	シュウ	shōu
囚	囚	囚		シュウ	qiú
州	州	州	す	シュウ	zhōu
舟	舟	舟	ふね、（ふな）	シュウ	zhōu
秀	秀	秀	ひい-でる	シュウ	xiù
周	周	周	まわ-り	シュウ	zhōu
宗	宗	宗		シュウ、ソウ	zōng
拾	拾	拾	ひろ-う	シュウ、ジュウ	shí
秋	秋	秋	あき	シュウ	qiū
修	修	修	おさ-める、おさ-まる	シュウ、（シュ）	xiū
袖	袖	袖	そで	シュウ	xiù
終	終	终	お-わる、お-える	シュウ	zhōng
羞	羞	羞		シュウ	xiū
習	習	习	なら-う	シュウ	xí
就	就	就	つ-く、つ-ける	シュウ、（ジュ）	jiù
集	集	集	あつ-まる、あつ-める、つど-う	シュウ	jí
愁	愁	愁	うれ-える、うれ-い	シュウ	chóu
酬	酬	酬		シュウ	chóu
蹴	蹴	蹴	け-る	シュウ	cù
襲	襲	袭	おそ-う	シュウ	xí
十	十	十	とお、と	ジュウ、ジッ	shí
汁	汁	汁	しる	ジュウ	zhī
充	充	充	あ-てる	ジュウ	chōng
住	住	住	す-む、す-まう	ジュウ	zhù
柔	柔	柔	やわ-らか、やわ-らかい	ジュウ、ニュウ	róu
重	重	重	え、おも-い、かさ-ねる、かさ-なる	ジュウ、チョウ	zhòng
從	従	从	したが-う、したが-える	ジュウ、（ショウ）、（ジュ）	cóng
銃	銃	铳		ジュウ	chòng
獸	獣	兽	けもの	ジュウ	shòu
縱	縦	纵	たて	ジュウ	zòng
叔	叔	叔		シュク	shū
宿	宿	宿	やど、やど-る、やど-す	シュク	sù
淑	淑	淑		シュク	shū
肅	粛	肃		シュク	sù
縮	縮	缩	ちぢ-む、ちぢ-まる、ちぢ-める、ちぢ-れる、ちぢ-らす	シュク	suō
塾	塾	塾		ジュク	shú
熟	熟	熟	う-れる	ジュク	shú
出	出	出	で-る、だ-す	シュツ、（スイ）	chū
述	述	述	の-べる	ジュツ	shù
術	術	术		ジュツ	shù
俊	俊	俊		シュン	jùn
春	春	春	はる	シュン	chūn
瞬	瞬	瞬	またた-く	シュン	shùn
旬	旬	旬		ジュン、（シュン）	xún
巡	巡	巡	めぐ-る	ジュン	xún
盾	盾	盾	たて	ジュン	dùn
准	准	准		ジュン	zhǔn
殉	殉	殉		ジュン	xùn
純	純	纯		ジュン	chún
循	循	循		ジュン	xún
順	順	顺		ジュン	shùn
潤	潤	润	うるお-う、うるお-す、うる-む	ジュン	rùn
遵	遵	遵		ジュン	zūn
處	処	处		ショ	chù
初	初	初	はじ-め、はじ-めて、はつ、うい、そ-める	ショ	chū
所	所	所	ところ	ショ	suǒ
書	書	书	か-く	ショ	shū
庶	庶	庶		ショ	shù
女	女	女	おんな、め	ジョ、ニョ、（ニョウ）	nǚ
如	如	如		ジョ、ニョ	rú
助	助	助	たす-ける、たす-かる、すけ	ジョ	zhù
序	序	序		ジョ	xù
徐	徐	徐		ジョ	xú
除	除	除	のぞ-く	ジョ、（ジ）	chú
小	小	小	ちい-さい、こ、お	ショウ	xiǎo
升	升	升	ます	ショウ	shēng
少	少	少	すく-ない、すこ-し	ショウ	shǎo
召	召	召	め-す	ショウ	zhào
匠	匠	匠		ショウ	jiàng
床	床	床	とこ、ゆか	ショウ	chuáng
抄	抄	抄		ショウ	chāo
肖	肖	肖		ショウ	xiào
尚	尚	尚		ショウ	shàng
招	招	招	まね-く	ショウ	zhāo
承	承	承	うけたまわ-る	ショウ	chéng
昇	昇	昇	のぼ-る	ショウ	shēng
沼	沼	沼	ぬま	ショウ	zhǎo
昭	昭	昭		ショウ	zhāo
宵	宵	宵	よい	ショウ	xiāo
將	将	将		ショウ	jiāng
消	消	消	き-える、け-す	ショウ	xiāo
症	症	症		ショウ	zhèng
稱	称	称		ショウ	chēng
笑	笑	笑	わら-う、え-む	ショウ	xiào
唱	唱	唱	とな-える	ショウ	chàng
商	商	商	あきな-う	ショウ	shāng
涉	渉	涉		ショウ	shè
章	章	章		ショウ	zhāng
紹	紹	绍		ショウ	shào
訟	訟	讼		ショウ	sòng
勝	勝	胜	か-つ、まさ-る	ショウ	shèng
掌	掌	掌		ショウ	zhǎng
晶	晶	晶		ショウ	jīng
燒	焼	烧	や-く、や-ける	ショウ	shāo
焦	焦	焦	こ-げる、こ-がす、こ-がれる、あせ-る	ショウ	jiāo
硝	硝	硝		ショウ	xiāo
詔	詔	诏	みことのり	ショウ	zhào
象	象	象		ショウ、ゾウ	xiàng
傷	傷	伤	きず、いた-む、いた-める	ショウ	shāng
照	照	照	て-る、て-らす、て-れる	ショウ	zhào
詳	詳	详	くわ-しい	ショウ	xiáng
彰	彰	彰		ショウ	zhāng
障	障	障	さわ-る	ショウ	zhàng
憧	憧	憧	あこが-れる	ショウ	chōng
賞	賞	赏		ショウ	shǎng
償	償	偿	つぐな-う	ショウ	cháng
礁	礁	礁		ショウ	jiāo
鐘	鐘	钟	かね	ショウ	zhōng
上	上	上	うえ、（うわ）、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す	ジョウ、（ショウ）	shàng
丈	丈	丈	たけ	ジョウ	zhàng
冗	冗	冗		ジョウ	rǒng
條	条	条		ジョウ	tiáo
狀	状	状		ジョウ	zhuàng
乘	乗	乘	の-る、の-せる	ジョウ	chéng
城	城	城	しろ	ジョウ	chéng
淨	浄	净		ジョウ	jìng
剩	剰	剩		ジョウ	shèng
常	常	常	つね、とこ	ジョウ	cháng
情	情	情	なさ-け	ジョウ、（セイ）	qíng
場	場	场	ば	ジョウ	chǎng
疊	畳	叠	たた-む、たたみ	ジョウ	dié
蒸	蒸	蒸	む-す、む-れる、む-らす	ジョウ	zhēng
繩	縄	绳	なわ	ジョウ	shéng
壤	壌	壤		ジョウ	rǎng
錠	錠	锭		ジョウ	dìng
讓	譲	让	ゆず-る	ジョウ	ràng
釀	醸	酿	かも-す	ジョウ	niàng
色	色	色	いろ	ショク、シキ	sè
拭	拭	拭	ふ-く、ぬぐ-う	ショク	shì
食	食	食	く-う、く-らう、た-べる	ショク、（ジキ）	shí
植	植	植	う-える、う-わる	ショク	zhí
殖	殖	殖	ふ-える、ふ-やす	ショク	zhí
飾	飾	饰	かざ-る	ショク	shì
觸	触	触	ふ-れる、さわ-る	ショク	chù
囑	嘱	嘱		ショク	zhǔ
織	織	织	お-る	ショク、シキ	zhī
職	職	职		ショク	zhí
辱	辱	辱	はずかし-める	ジョク	rǔ
尻	尻	尻	しり		kāo
心	心	心	こころ	シン	xīn
申	申	申	もう-す	シン	shēn
伸	伸	伸	の-びる、の-ばす、の-べる	シン	shēn
臣	臣	臣		シン、ジン	chén
芯	芯	芯		シン	xīn
身	身	身	み	シン	shēn
辛	辛	辛	から-い	シン	xīn
侵	侵	侵	おか-す	シン	qīn
信	信	信		シン	xìn
津	津	津	つ	シン	jīn
唇	唇	唇	くちびる	シン	chún
娠	娠	娠		シン	shēn
振	振	振	ふ-る、ふ-るう、ふ-れる	シン	zhèn
浸	浸	浸	ひた-す、ひた-る	シン	jìn
針	針	针	はり	シン	zhēn
深	深	深	ふか-い、ふか-まる、ふか-める	シン	shēn
紳	紳	绅		シン	shēn
進	進	进	すす-む、すす-める	シン	jìn
森	森	森	もり	シン	sēn
診	診	诊	み-る	シン	zhěn
寢	寝	寝	ね-る、ね-かす	シン	qǐn
新	新	新	あたら-しい、あら-た、にい	シン	xīn
審	審	审		シン	shěn
震	震	震	ふる-う、ふる-える	シン	zhèn
薪	薪	薪	たきぎ	シン	xīn
親	親	亲	おや、した-しい、した-しむ	シン	qīn
人	人	人	ひと	ジン、ニン	rén
刃	刃	刃	は	ジン	rèn
仁	仁	仁		ジン、（ニ）	rén
盡	尽	尽	つ-くす、つ-きる、つ-かす	ジン	jǐn
迅	迅	迅		ジン	xùn
甚	甚	甚	はなは-だ、はなは-だしい	ジン	shén
陣	陣	阵		ジン	zhèn
尋	尋	寻	たず-ねる	ジン	xún
腎	腎	肾		ジン	shèn
須	須	须		ス	xū
圖	図	图	はか-る	ズ、ト	tú
水	水	水	みず	スイ	shuǐ
吹	吹	吹	ふ-く	スイ	chuī
垂	垂	垂	た-れる、た-らす	スイ	chuí
炊	炊	炊	た-く	スイ	chuī
帥	帥	帅		スイ	shuài
粹	粋	粹	いき	スイ	cuì
衰	衰	衰	おとろ-える	スイ	shuāi
推	推	推	お-す	スイ	tuī
醉	酔	醉	よ-う	スイ	zuì
遂	遂	遂	と-げる	スイ	suì
睡	睡	睡		スイ	shuì
穗	穂	穗	ほ	スイ	suì
隨	随	随		ズイ	suí
髓	髄	髓		ズイ	suǐ
樞	枢	枢		スウ	shū
崇	崇	崇		スウ	chóng
數	数	数	かず、かぞ-える	スウ、（ス）	shù
杉	杉	杉	すぎ		shān
裾	裾	裾	すそ		jū
寸	寸	寸		スン	cùn
瀨	瀬	濑	せ		lài
是	是	是		ゼ	shì
井	井	井	い	セイ、（ショウ）	jǐng
世	世	世	よ	セイ、セ	shì
正	正	正	ただ-しい、ただ-す、まさ	セイ、ショウ	zhèng
生	生	生	い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま	セイ、ショウ	shēng
成	成	成	な-る、な-す	セイ、（ジョウ）	chéng
西	西	西	にし	セイ、サイ	xī
聲	声	声	こえ、（こわ）	セイ、（ショウ）	shēng
制	制	制		セイ	zhì
姓	姓	姓		セイ、ショウ	xìng
征	征	征		セイ	zhēng
性	性	性		セイ、ショウ	xìng
青	青	青	あお、あお-い	セイ、（ショウ）	qīng
齊	斉	齐		セイ	qí
政	政	政	まつりごと	セイ、（ショウ）	zhèng
星	星	星	ほし	セイ、（ショウ）	xīng
牲	牲	牲		セイ	shēng
省	省	省	かえり-みる、はぶ-く	セイ、ショウ	shěng
逝	逝	逝	ゆ-く、い-く	セイ	shì
清	清	清	きよ-い、きよ-まる、きよ-める	セイ、（ショウ）	qīng
盛	盛	盛	も-る、さか-る、さか-ん	セイ、（ジョウ）	shèng
婿	婿	婿	むこ	セイ	xù
晴	晴	晴	は-れる、は-らす	セイ	qíng
勢	勢	势	いきお-い	セイ	shì
聖	聖	圣		セイ	shèng
誠	誠	诚	まこと	セイ	chéng
精	精	精		セイ、（ショウ）	jīng
誓	誓	誓	ちか-う	セイ	shì
靜	静	静	しず、しず-か、しず-まる、しず-める	セイ、（ジョウ）	jìng
請	請	请	こ-う、う-ける	セイ、（シン）	qǐng
整	整	整	ととの-える、ととの-う	セイ	zhěng
醒	醒	醒		セイ	xǐng
夕	夕	夕	ゆう	セキ	xī
斥	斥	斥		セキ	chì
石	石	石	いし	セキ、（シャク）、（コク）	shí
赤	赤	赤	あか、あか-い、あか-らむ、あか-らめる	セキ、（シャク）	chì
昔	昔	昔	むかし	セキ、（シャク）	xī
析	析	析		セキ	xī
席	席	席		セキ	xí
脊	脊	脊		セキ	jí
隻	隻	只		セキ	zhǐ
惜	惜	惜	お-しい、お-しむ	セキ	xī
戚	戚	戚		セキ	qī
責	責	责	せ-める	セキ	zé
跡	跡	迹	あと	セキ	jī
積	積	积	つ-む、つ-もる	セキ	jī
績	績	绩		セキ	jī
籍	籍	籍		セキ	jí
切	切	切	き-る、き-れる	セツ、（サイ）	qiè
折	折	折	お-る、おり、お-れる	セツ	zhé
拙	拙	拙	つたな-い	セツ	zhuō
竊	窃	窃		セツ	qiè
接	接	接	つ-ぐ	セツ	jiē
設	設	设	もう-ける	セツ	shè
雪	雪	雪	ゆき	セツ	xuě
攝	摂	摄		セツ	shè
舌	舌	舌	した	ゼツ	shé
絕	絶	绝	た-える、た-やす、た-つ	ゼツ	jué
千	千	千	ち	セン	qiān
川	川	川	かわ	セン	chuān
仙	仙	仙		セン	xiān
先	先	先	さき	セン	xiān
宣	宣	宣		セン	xuān
專	専	专	もっぱ-ら	セン	zhuān
泉	泉	泉	いずみ	セン	quán
淺	浅	浅	あさ-い	セン	qiǎn
洗	洗	洗	あら-う	セン	xǐ
染	染	染	そ-める、そ-まる、し-みる、し-み	セン	rǎn
扇	扇	扇	おうぎ	セン	shàn
栓	栓	栓		セン	shuān
旋	旋	旋		セン	xuán
船	船	船	ふね、（ふな）	セン	chuán
戰	戦	战	いくさ、たたか-う	セン	zhàn
羨	羨	羡	うらや-む、うらや-ましい	セン	xiàn
腺	腺	腺		セン	xiàn
踐	践	践		セン	jiàn
箋	箋	笺		セン	jiān
錢	銭	钱	ぜに	セン	qián
潛	潜	潜	ひそ-む、もぐ-る	セン	qián
線	線	线		セン	xiàn
遷	遷	迁		セン	qiān
選	選	选	えら-ぶ	セン	xuǎn
薦	薦	荐	すす-める	セン	jiàn
纖	繊	纤		セン	xiān
鮮	鮮	鲜	あざ-やか	セン	xiān
全	全	全	まった-く、すべ-て	ゼン	quán
前	前	前	まえ	ゼン	qián
善	善	善	よ-い	ゼン	shàn
然	然	然		ゼン、ネン	rán
禪	禅	禅		ゼン	chán
漸	漸	渐		ゼン	jiàn
膳	膳	膳		ゼン	shàn
繕	繕	缮	つくろ-う	ゼン	shàn
狙	狙	狙	ねら-う	ソ	jū
阻	阻	阻	はば-む	ソ	zǔ
租	租	租		ソ	zū
素	素	素		ソ、ス	sù
措	措	措		ソ	cuò
粗	粗	粗	あら-い	ソ	cū
組	組	组	く-む、くみ	ソ	zǔ
訴	訴	诉	うった-える	ソ	sù
塑	塑	塑		ソ	sù
礎	礎	础	いしずえ	ソ	chǔ
雙	双	双	ふた	ソウ	shuāng
壯	壮	壮		ソウ	zhuàng
早	早	早	はや-い、はや-まる、はや-める	ソウ、（サッ）	zǎo
爭	争	争	あらそ-う	ソウ	zhēng
走	走	走	はし-る	ソウ	zǒu
奏	奏	奏	かな-でる	ソウ	zòu
相	相	相	あい	ソウ、ショウ	xiāng
草	草	草	くさ	ソウ	cǎo
送	送	送	おく-る	ソウ	sòng
倉	倉	仓	くら	ソウ	cāng
搜	捜	搜	さが-す	ソウ	sōu
插	挿	插	さ-す	ソウ	chā
桑	桑	桑	くわ	ソウ	sāng
巢	巣	巢	す	ソウ	cháo
掃	掃	扫	は-く	ソウ	sǎo
曹	曹	曹		ソウ	cáo
曾	曽	曾		ソウ、（ゾ）	céng
爽	爽	爽	さわ-やか	ソウ	shuǎng
創	創	创	つく-る	ソウ	chuàng
喪	喪	丧	も	ソウ	sàng
瘦	痩	瘦	や-せる	ソウ	shòu
葬	葬	葬	ほうむ-る	ソウ	zàng
裝	装	装	よそお-う	ソウ、ショウ	zhuāng
想	想	想		ソウ、（ソ）	xiǎng
總	総	总		ソウ	zǒng
遭	遭	遭	あ-う	ソウ	zāo
槽	槽	槽		ソウ	cáo
操	操	操	みさお、あやつ-る	ソウ	cāo
燥	燥	燥		ソウ	zào
霜	霜	霜	しも	ソウ	shuāng
騷	騒	骚	さわ-ぐ	ソウ	sāo
藻	藻	藻	も	ソウ	zǎo
造	造	造	つく-る	ゾウ	zào
像	像	像		ゾウ	xiàng
增	増	增	ま-す、ふ-える、ふ-やす	ゾウ	zēng
藏	蔵	藏	くら	ゾウ	cáng
臟	臓	脏		ゾウ	zàng
束	束	束	たば	ソク	shù
足	足	足	あし、た-りる、た-る、た-す	ソク	zú
促	促	促	うなが-す	ソク	cù
則	則	则		ソク	zé
息	息	息	いき	ソク	xī
捉	捉	捉	とら-える	ソク	zhuō
速	速	速	はや-い、はや-める、はや-まる、すみ-やか	ソク	sù
側	側	侧	がわ	ソク	cè
測	測	测	はか-る	ソク	cè
俗	俗	俗		ゾク	sú
族	族	族		ゾク	zú
屬	属	属		ゾク	shǔ
賊	賊	贼		ゾク	zéi
續	続	续	つづ-く、つづ-ける	ゾク	xù
卒	卒	卒		ソツ	zú
率	率	率	ひき-いる	ソツ、リツ	lǜ
存	存	存		ソン、ゾン	cún
村	村	村	むら	ソン	cūn
孫	孫	孙	まご	ソン	sūn
尊	尊	尊	たっと-い、とうと-い、たっと-ぶ、とうと-ぶ	ソン	zūn
損	損	损	そこ-なう、そこ-ねる	ソン	sǔn
他	他	他	ほか	タ	tā
多	多	多	おお-い	タ	duō
汰	汰	汰		タ	tài
打	打	打	う-つ	ダ	dǎ
妥	妥	妥		ダ	tuǒ
唾	唾	唾	つば	ダ	tuò
墮	堕	堕		ダ	duò
惰	惰	惰		ダ	duò
太	太	太	ふと-い、ふと-る	タイ、タ	tài
對	対	对		タイ、ツイ	duì
體	体	体	からだ	タイ、テイ	tǐ
耐	耐	耐	た-える	タイ	nài
待	待	待	ま-つ	タイ	dài
怠	怠	怠	おこた-る、なま-ける	タイ	dài
胎	胎	胎		タイ	tāi
退	退	退	しりぞ-く、しりぞ-ける	タイ	tuì
帶	帯	带	お-びる、おび	タイ	dài
泰	泰	泰		タイ	tài
堆	堆	堆		タイ	duī
袋	袋	袋	ふくろ	タイ	dài
逮	逮	逮		タイ	dǎi
替	替	替	か-える、か-わる	タイ	tì
貸	貸	贷	か-す	タイ	dài
隊	隊	队		タイ	duì
滯	滞	滞	とどこお-る	タイ	zhì
態	態	态		タイ	tài
戴	戴	戴		タイ	dài
大	大	大	おお、おお-きい、おお-いに	ダイ、タイ	dà
代	代	代	か-わる、か-える、よ、しろ	ダイ、タイ	dài
第	第	第		ダイ	dì
題	題	题		ダイ	tí
瀧	滝	泷	たき		lóng
宅	宅	宅		タク	zhái
擇	択	择		タク	zé
澤	沢	泽	さわ	タク	zé
卓	卓	卓		タク	zhuō
拓	拓	拓		タク	tà
濯	濯	濯		タク	zhuó
諾	諾	诺		ダク	nuò
濁	濁	浊	にご-る、にご-す	ダク	zhuó
但	但	但	ただ-し		dàn
達	達	达		タツ	dá
奪	奪	夺	うば-う	ダツ	duó
棚	棚	棚	たな		péng
誰	誰	谁	だれ		shuí
丹	丹	丹		タン	dān
旦	旦	旦		タン、ダン	dàn
擔	担	担	かつ-ぐ、にな-う	タン	dān
單	単	单		タン	dān
炭	炭	炭	すみ	タン	tàn
膽	胆	胆		タン	dǎn
探	探	探	さぐ-る、さが-す	タン	tàn
淡	淡	淡	あわ-い	タン	dàn
短	短	短	みじか-い	タン	duǎn
端	端	端	はし、は、はた	タン	duān
綻	綻	绽	ほころ-びる	タン	zhàn
誕	誕	诞		タン	dàn
鍛	鍛	锻	きた-える	タン	duàn
團	団	团		ダン、（トン）	tuán
男	男	男	おとこ	ダン、ナン	nán
段	段	段		ダン	duàn
斷	断	断	た-つ、ことわ-る	ダン	duàn
彈	弾	弹	ひ-く、はず-む、たま	ダン	dàn
暖	暖	暖	あたた-か、あたた-かい、あたた-まる、あたた-める	ダン	nuǎn
談	談	谈		ダン	tán
壇	壇	坛		ダン、（タン）	tán
地	地	地		チ、ジ	de
池	池	池	いけ	チ	chí
知	知	知	し-る	チ	zhī
恥	恥	耻	は-じる、はじ、は-じらう、は-ずかしい	チ	chǐ
致	致	致	いた-す	チ	zhì
遲	遅	迟	おく-れる、おく-らす、おそ-い	チ	chí
稚	稚	稚		チ	zhì
置	置	置	お-く	チ	zhì
竹	竹	竹	たけ	チク	zhú
畜	畜	畜		チク	chù
逐	逐	逐		チク	zhú
蓄	蓄	蓄	たくわ-える	チク	xù
秩	秩	秩		チツ	zhì
窒	窒	窒		チツ	zhì
茶	茶	茶		チャ、サ	chá
嫡	嫡	嫡		チャク	dí
中	中	中	なか	チュウ、（ジュウ）	zhōng
仲	仲	仲	なか	チュウ	zhòng
沖	沖	冲	おき	チュウ	chōng
宙	宙	宙		チュウ	zhòu
忠	忠	忠		チュウ	zhōng
抽	抽	抽		チュウ	chōu
注	注	注	そそ-ぐ	チュウ	zhù
晝	昼	昼	ひる	チュウ	zhòu
柱	柱	柱	はしら	チュウ	zhù
衷	衷	衷		チュウ	zhōng
酎	酎	酎		チュウ	zhòu
鑄	鋳	铸	い-る	チュウ	zhù
駐	駐	驻		チュウ	zhù
貯	貯	贮		チョ	zhù
丁	丁	丁		チョウ、テイ	dīng
廳	庁	厅		チョウ	tīng
兆	兆	兆	きざ-す、きざ-し	チョウ	zhào
町	町	町	まち	チョウ	tīng
長	長	长	なが-い	チョウ	zhǎng
挑	挑	挑	いど-む	チョウ	tiāo
帳	帳	帐		チョウ	zhàng
張	張	张	は-る	チョウ	zhāng
眺	眺	眺	なが-める	チョウ	tiào
釣	釣	钓	つ-る	チョウ	diào
頂	頂	顶	いただ-く、いただき	チョウ	dǐng
鳥	鳥	鸟	とり	チョウ	niǎo
朝	朝	朝	あさ	チョウ	cháo
貼	貼	贴	は-る	チョウ	tiē
超	超	超	こ-える、こ-す	チョウ	chāo
腸	腸	肠		チョウ	cháng
跳	跳	跳	は-ねる、と-ぶ	チョウ	tiào
徵	徴	徵		チョウ	zhēng
潮	潮	潮	しお	チョウ	cháo
澄	澄	澄	す-む、す-ます	チョウ	chéng
調	調	调	しら-べる、ととの-う、ととの-える	チョウ	diào
聽	聴	听	き-く	チョウ	tīng
直	直	直	ただ-ちに、なお-す、なお-る	チョク、ジキ	zhí
敕	勅	敕		チョク	chì
沈	沈	沈	しず-む、しず-める	チン	chén
珍	珍	珍	めずら-しい	チン	zhēn
朕	朕	朕		チン	zhèn
陳	陳	陈		チン	chén
賃	賃	赁		チン	lìn
追	追	追	お-う	ツイ	zhuī
椎	椎	椎		ツイ	chuí
墜	墜	坠		ツイ	zhuì
通	通	通	とお-る、とお-す、かよ-う	ツウ、（ツ）	tōng
痛	痛	痛	いた-い、いた-む、いた-める	ツウ	tòng
漬	漬	渍	つ-ける、つ-かる		zì
坪	坪	坪	つぼ		píng
爪	爪	爪	つめ、（つま）		zhǎo
鶴	鶴	鹤	つる		hè
低	低	低	ひく-い、ひく-める、ひく-まる	テイ	dī
呈	呈	呈		テイ	chéng
廷	廷	廷		テイ	tíng
弟	弟	弟	おとうと	テイ、（ダイ）、（デ）	dì
定	定	定	さだ-める、さだ-まる、さだ-か	テイ、ジョウ	dìng
底	底	底	そこ	テイ	dǐ
抵	抵	抵		テイ	dǐ
邸	邸	邸		テイ	dǐ
亭	亭	亭		テイ	tíng
貞	貞	贞		テイ	zhēn
帝	帝	帝		テイ	dì
