#Common	Kanji	Simpl.	Kun'yomi	On'yomi	Pinyin
快	快	快	こころよ-い	カイ	kuài
戒	戒	戒	いまし-める	カイ	jiè
改	改	改	あらた-める、あらた-まる	カイ	gǎi
怪	怪	怪	あや-しい、あや-しむ	カイ	guài
拐	拐	拐		カイ	guǎi
界	界	界		カイ	jiè
皆	皆	皆	みな	カイ	jiē
械	械	械		カイ	xiè
繪	絵	绘		カイ、エ	huì
開	開	开	ひら-く、ひら-ける、あ-く、あ-ける	カイ	kāi
階	階	阶		カイ	jiē
塊	塊	块	かたまり	カイ	kuài
楷	楷	楷		カイ	kǎi
解	解	解	と-く、と-かす、と-ける	カイ、ゲ	jiě
潰	潰	溃	つぶ-す、つぶ-れる	カイ	kuì
壞	壊	坏	こわ-す、こわ-れる	カイ	huài
懷	懐	怀	ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-ける	カイ	huái
諧	諧	谐		カイ	xié
貝	貝	贝	かい		bèi
外	外	外	そと、ほか、はず-す、はず-れる	ガイ、ゲ	wài
劾	劾	劾		ガイ	hé
害	害	害		ガイ	hài
崖	崖	崖	がけ	ガイ	yá
涯	涯	涯		ガイ	yá
街	街	街	まち	ガイ、（カイ）	jiē
蓋	蓋	盖	ふた	ガイ	gài
該	該	该		ガイ	gāi
骸	骸	骸		ガイ	hái
垣	垣	垣	かき		yuán
柿	柿	柿	かき		shì
各	各	各	おのおの	カク	gè
角	角	角	かど、つの	カク	jiǎo
擴	拡	扩		カク	kuò
革	革	革	かわ	カク	gé
格	格	格		カク、（コウ）	gé
核	核	核		カク	hé
殼	殻	壳	から	カク	ké
郭	郭	郭		カク	guō
覺	覚	觉	おぼ-える、さ-ます、さ-める	カク	jué
較	較	较		カク	jiào
隔	隔	隔	へだ-てる、へだ-たる	カク	gé
閣	閣	阁		カク	gé
確	確	确	たし-か、たし-かめる	カク	què
獲	獲	获	え-る	カク	huò
嚇	嚇	吓		カク	xià
學	学	学	まな-ぶ	ガク	xué
樂	楽	乐	たの-しい、たの-しむ	ガク、ラク	lè
額	額	额	ひたい	ガク	é
顎	顎	颚	あご	ガク	è
潟	潟	潟	かた		xì
括	括	括		カツ	kuò
活	活	活		カツ	huó
渴	渇	渴	かわ-く	カツ	kě
割	割	割	わ-る、わり、わ-れる、さ-く	カツ	gē
滑	滑	滑	すべ-る、なめ-らか	カツ、コツ	huá
轄	轄	辖		カツ	xiá
且	且	且	か-つ		qiě
株	株	株	かぶ		zhū
釜	釜	釜	かま		fǔ
刈	刈	刈	か-る		yì
干	干	干	ほ-す、ひ-る	カン	gàn
刊	刊	刊		カン	kān
甘	甘	甘	あま-い、あま-える、あま-やかす	カン	gān
汗	汗	汗	あせ	カン	hàn
罐	缶	罐		カン	guàn
完	完	完		カン	wán
肝	肝	肝	きも	カン	gān
官	官	官		カン	guān
冠	冠	冠	かんむり	カン	guān
卷	巻	卷	ま-く、まき	カン	juǎn
看	看	看		カン	kàn
陷	陥	陷	おちい-る、おとしい-れる	カン	xiàn
乾	乾	乾	かわ-く、かわ-かす	カン	gān
勘	勘	勘		カン	kān
患	患	患	わずら-う	カン	huàn
